drug,avg_energy,best_energy,num_targets_strong,GRIN1,HSPA8,ITPKB,PGK1
CHEMBL7413,-5.825,-6.4,2,-6.2,-6.4,-5.5,-5.2
CHEMBL447,-5.775,-6.1,2,-6.1,-6.1,-5.5,-5.4
CHEMBL454,-5.7749999999999995,-6.4,2,-6.4,-6.0,-5.5,-5.2
CHEMBL457,-5.7250000000000005,-6.2,1,-6.2,-5.4,-5.6,-5.7
CHEMBL419,-5.725,-6.1,2,-5.6,-6.1,-6.1,-5.1
CHEMBL267894,-5.725,-6.3,1,-5.7,-6.3,-5.5,-5.4
CHEMBL450,-5.725,-6.4,1,-6.4,-5.7,-5.7,-5.1
CHEMBL24,-5.65,-6.4,1,-6.4,-5.7,-5.7,-4.8
CHEMBL19,-5.65,-6.0,1,-5.8,-6.0,-5.2,-5.6
CHEMBL448,-5.575,-5.9,0,-5.9,-5.8,-5.4,-5.2
CHEMBL21,-5.499999999999999,-6.1,1,-6.1,-5.6,-5.6,-4.7
CHEMBL59,-5.425000000000001,-5.9,0,-5.7,-5.9,-5.6,-4.5
CHEMBL30,-5.35,-5.7,0,-5.6,-5.2,-5.7,-4.9
CHEMBL423,-5.35,-6.0,1,-6.0,-5.2,-5.5,-4.7
CHEMBL25,-5.300000000000001,-6.1,1,-6.1,-5.4,-5.3,-4.4
CHEMBL13,-5.3,-6.0,1,-6.0,-5.3,-5.1,-4.8
CHEMBL441,-5.3,-5.5,0,-5.5,-5.4,-5.3,-5.0
CHEMBL267936,-5.225,-6.3,1,-5.7,-5.0,-6.3,-3.9
CHEMBL440,-5.175000000000001,-5.4,0,-5.4,-5.2,-5.2,-4.9
CHEMBL3,-5.1000000000000005,-5.9,0,-5.9,-4.9,-4.9,-4.7
CHEMBL427,-3.2750000000000004,-3.8,0,-3.8,-3.1,-3.4,-2.8
