drug,target,energy
CHEMBL454,PGK1,-5.2
CHEMBL455,PGK1,-5.7
CHEMBL456,PGK1,-5.6
CHEMBL457,PGK1,-5.7
CHEMBL459,PGK1,-5.3
CHEMBL46,PGK1,-6.0
CHEMBL460,PGK1,-4.9
CHEMBL463,PGK1,-5.8
CHEMBL49,PGK1,-5.4
CHEMBL5,PGK1,-5.3
CHEMBL53,PGK1,-9.2
CHEMBL54,PGK1,-4.7
CHEMBL55,PGK1,-4.3
CHEMBL57,PGK1,-5.7
CHEMBL59,PGK1,-4.5
CHEMBL6,PGK1,-6.7
CHEMBL6437,PGK1,-5.8
CHEMBL6622,PGK1,-6.5
CHEMBL6995,PGK1,-5.6
CHEMBL7413,PGK1,-5.2
CHEMBL7728,PGK1,-6.1
CHEMBL7863,PGK1,-5.5
CHEMBL8,PGK1,-5.5
CHEMBL9,PGK1,-6.1
CHEMBL11,ITPKB,-8.2
CHEMBL12,ITPKB,-7.4
CHEMBL13,ITPKB,-5.1
CHEMBL16,ITPKB,-7.2
CHEMBL17,ITPKB,-5.8
CHEMBL18,ITPKB,-5.5
CHEMBL19,ITPKB,-5.2
CHEMBL2,ITPKB,-7.4
CHEMBL20,ITPKB,-5.6
CHEMBL21,ITPKB,-5.6
CHEMBL22,ITPKB,-6.8
CHEMBL23,ITPKB,-6.4
CHEMBL24,ITPKB,-5.7
CHEMBL25,ITPKB,-5.3
CHEMBL266349,ITPKB,-7.3
CHEMBL267744,ITPKB,-5.6
CHEMBL267894,ITPKB,-5.5
CHEMBL267936,ITPKB,-6.3
CHEMBL268164,ITPKB,-7.6
CHEMBL268869,ITPKB,-6.7
CHEMBL27,ITPKB,-5.8
CHEMBL29,ITPKB,-6.8
CHEMBL3,ITPKB,-4.9
CHEMBL30,ITPKB,-5.7
CHEMBL31,ITPKB,-7.2
CHEMBL32,ITPKB,-7.8
CHEMBL33,ITPKB,-6.9
CHEMBL35,ITPKB,-6.4
CHEMBL36,ITPKB,-6.4
CHEMBL4,ITPKB,-7.0
CHEMBL40,ITPKB,-7.4
CHEMBL403,ITPKB,-6.4
CHEMBL404,ITPKB,-6.5
CHEMBL406,ITPKB,-7.2
CHEMBL407,ITPKB,-6.7
CHEMBL408,ITPKB,-7.9
CHEMBL409,ITPKB,-7.5
CHEMBL41,ITPKB,-6.5
CHEMBL411,ITPKB,-6.1
CHEMBL415,ITPKB,-8.1
CHEMBL416,ITPKB,-6.4
CHEMBL419,ITPKB,-6.1
CHEMBL42,ITPKB,-7.5
CHEMBL420,ITPKB,-6.9
CHEMBL421,ITPKB,-7.0
CHEMBL422,ITPKB,-9.4
CHEMBL423,ITPKB,-5.5
CHEMBL425,ITPKB,-6.6
CHEMBL427,ITPKB,-3.4
CHEMBL428,ITPKB,-8.5
CHEMBL429,ITPKB,-6.7
CHEMBL43,ITPKB,-9.0
CHEMBL430,ITPKB,-8.5
CHEMBL431,ITPKB,-7.0
CHEMBL434,ITPKB,-5.8
CHEMBL435,ITPKB,-6.4
CHEMBL436,ITPKB,-6.2
CHEMBL437,ITPKB,-6.3
CHEMBL438,ITPKB,-6.8
CHEMBL439,ITPKB,-7.0
CHEMBL440,ITPKB,-5.2
CHEMBL441,ITPKB,-5.3
CHEMBL443,ITPKB,-7.3
CHEMBL445,ITPKB,-7.7
CHEMBL446,ITPKB,-6.9
CHEMBL447,ITPKB,-5.5
CHEMBL448,ITPKB,-5.4
CHEMBL449,ITPKB,-5.8
CHEMBL45,ITPKB,-5.5
CHEMBL450,ITPKB,-5.7
CHEMBL451,ITPKB,-7.0
CHEMBL452,ITPKB,-7.3
CHEMBL453,ITPKB,-6.8
CHEMBL454,ITPKB,-5.5
CHEMBL455,ITPKB,-6.6
CHEMBL456,ITPKB,-6.0
CHEMBL457,ITPKB,-5.6
CHEMBL459,ITPKB,-5.7
CHEMBL46,ITPKB,-7.4
CHEMBL460,ITPKB,-6.4
CHEMBL463,ITPKB,-6.4
CHEMBL49,ITPKB,-6.7
CHEMBL5,ITPKB,-6.1
CHEMBL53,ITPKB,-10.5
CHEMBL54,ITPKB,-6.8
CHEMBL55,ITPKB,-5.5
CHEMBL57,ITPKB,-6.9
CHEMBL59,ITPKB,-5.6
CHEMBL6,ITPKB,-7.3
CHEMBL6437,ITPKB,-7.2
CHEMBL6622,ITPKB,-6.1
CHEMBL6995,ITPKB,-6.2
CHEMBL7413,ITPKB,-5.5
CHEMBL7728,ITPKB,-6.3
CHEMBL7863,ITPKB,-5.4
CHEMBL8,ITPKB,-6.1
CHEMBL9,ITPKB,-6.2
