chembl_id,name,smiles,mw,logp,pred_GRIN1,pred_HSPA8,pred_ITPKB,pred_PGK1,avg_predicted
CHEMBL621,TRAZODONE,O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,371.87,2.36,-8.038938034188037,-7.259979539088359,-7.177349999999995,-6.245916666666664,-7.180546059985764
CHEMBL24828,VANDETANIB,COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,475.36,4.43,-8.139366666666668,-7.126130952380954,-6.901833333333332,-6.529666666666667,-7.174249404761905
CHEMBL941,IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.62,4.59,-8.211428571428574,-7.052550101858928,-7.331171428571424,-6.0150000000000015,-7.152537525464731
CHEMBL708,ZIPRASIDONE,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1,412.95,3.81,-8.041711111111114,-7.166020448179271,-7.229266666666661,-6.172166666666664,-7.1522912231559275
CHEMBL838,BENAZEPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@H]1CCc2ccccc2N(CC(=O)O)C1=O,424.5,2.57,-8.059428571428576,-7.0018337662337675,-7.286499999999997,-6.131738095238096,-7.119875108225108
CHEMBL656,OXYCODONE,COc1ccc2c3c1O[C@H]1C(=O)CC[C@@]4(O)[C@@H](C2)N(C)CC[C@]314,315.37,1.05,-8.231914285714286,-7.077810028860029,-7.230999999999995,-5.937380952380952,-7.119526316738815
CHEMBL24778,SILODOSIN,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,495.54,3.07,-8.15136666666667,-6.975441666666663,-7.208666666666664,-6.1023809523809565,-7.1094639880952375
CHEMBL963,OXYMORPHONE,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,301.34,0.75,-8.223914285714287,-7.01677113997114,-7.224999999999997,-5.9703809523809515,-7.109016594516595
CHEMBL623,NEFAZODONE,CCc1nn(CCCN2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,470.02,3.55,-8.24602692307693,-6.963157160928887,-7.168999999999998,-6.054166666666666,-7.10808768766812
CHEMBL126,LINEZOLID,CC(=O)NC[C@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,337.35,1.12,-7.957949999999999,-7.176125396825397,-7.258999999999994,-6.002380952380955,-7.098864087301587
CHEMBL295124,BERBERINE,COc1ccc2cc3[n+](cc2c1OC)CCc1cc2c(cc1-3)OCO2,336.37,3.1,-8.141833333333333,-7.0093499999999995,-7.266071428571423,-5.973848484848483,-7.09777581168831
CHEMBL13280,FLUNITRAZEPAM,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21,313.29,2.55,-7.746618686868691,-7.0819416666666735,-7.30876666666666,-6.236464285714282,-7.093447826479077
CHEMBL531,PERGOLIDE,CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,314.5,4.27,-8.556000000000004,-6.697322535260436,-7.284999999999994,-5.833714285714283,-7.093009205243679
CHEMBL14376,ILOPERIDONE,COc1cc(C(C)=O)ccc1OCCCN1CCC(c2noc3cc(F)ccc23)CC1,426.49,4.83,-7.997443589743591,-7.012783333333334,-7.153071428571423,-6.188750000000003,-7.088012087912087
CHEMBL639,AZELASTINE,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,381.91,4.3,-8.026739682539686,-7.041798791520517,-7.095838095238091,-6.179999999999998,-7.086094142324573
CHEMBL534,KETOTIFEN,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,309.43,4.01,-8.10391428571429,-6.823030080213902,-7.363071428571423,-6.049166666666664,-7.08479561529157
CHEMBL844,BRIMONIDINE,Brc1c(NC2=NCCN2)ccc2nccnc12,292.14,1.76,-8.445910256410263,-6.5063073877876505,-7.111999999999995,-6.2677499999999995,-7.0829919110494775
