Gene,Mean_AD,Mean_Normal,log2FoldChange,p_value,adj_p_value,probe_id,gene_symbol,gene_title
207826_s_at,0.6761840680151743,0.4352412404425629,0.2409428275726113,6.600274562811851e-10,3.8551956652282734e-08,207826_s_at,ID3,"inhibitor of DNA binding 3, dominant negative helix-loop-helix protein"
207877_s_at,0.3314829279507151,0.593240780789369,-0.2617578528386539,1.3303503502735089e-11,1.685717486763043e-09,207877_s_at,NVL,nuclear VCP-like
207949_s_at,0.433359151844011,0.6449312841167948,-0.2115721322727837,5.358192311818896e-12,8.313265816061514e-10,207949_s_at,ICA1,"islet cell autoantigen 1, 69kDa"
208621_s_at,0.5370558157057039,0.3209695290871346,0.2160862866185692,3.5917891652498637e-10,2.3921753863633024e-08,208621_s_at,EZR,ezrin
208696_at,0.4957340079734361,0.7139124265143029,-0.2181784185408667,4.574458618135165e-10,2.898200794805288e-08,208696_at,CCT5,"chaperonin containing TCP1, subunit 5 (epsilon)"
208846_s_at,0.6192936267524969,0.8213597886708288,-0.2020661619183319,2.1586871274061877e-07,4.580123546582522e-06,208846_s_at,VDAC3,voltage-dependent anion channel 3
208965_s_at,0.6708568288057787,0.4695082470369598,0.2013485817688188,7.226391319627232e-09,2.714270351711156e-07,208965_s_at,IFI16,"interferon, gamma-inducible protein 16"
209279_s_at,0.3764770898185353,0.5809056795988962,-0.2044285897803608,9.611546855568947e-11,8.439154476257025e-09,209279_s_at,NSDHL,NAD(P) dependent steroid dehydrogenase-like
209372_x_at,0.3942147425931159,0.6349354023382127,-0.2407206597450967,1.853713880041684e-10,1.4198720354939201e-08,209372_x_at,TUBB2A /// TUBB2B,"tubulin, beta 2A class IIa /// tubulin, beta 2B class IIb"
209382_at,0.4257385866941529,0.6431856613565968,-0.2174470746624439,1.7128824311141777e-13,6.154318961213065e-11,209382_at,POLR3C,polymerase (RNA) III (DNA directed) polypeptide C (62kD)
209421_at,0.3948667611208853,0.6049212154378243,-0.2100544543169389,8.130347603742177e-09,2.980017944182359e-07,209421_at,MSH2,mutS homolog 2
209507_at,0.3687438386822227,0.601276947984833,-0.2325331093026102,2.509720661857029e-09,1.1327551612065945e-07,209507_at,RPA3,"replication protein A3, 14kDa"
209902_at,0.5163765394154038,0.7250587414993369,-0.208682202083933,7.495536695746667e-08,1.8661995842669109e-06,209902_at,ATR,ATR serine/threonine kinase
209953_s_at,0.3817345472253796,0.6467997345779887,-0.2650651873526091,3.8750889692737664e-14,2.054662464844157e-11,209953_s_at,CDC37,cell division cycle 37
210156_s_at,0.4735469280141558,0.6857971202218047,-0.2122501922076489,3.6628528933568656e-12,6.025282682677666e-10,210156_s_at,PCMT1,protein-L-isoaspartate (D-aspartate) O-methyltransferase
210232_at,0.6301535317337599,0.8346634179927858,-0.2045098862590258,2.8705444639061305e-12,4.976795073247794e-10,210232_at,CDC42,cell division cycle 42
210338_s_at,0.5964349855046635,0.8131350085594463,-0.2167000230547828,2.668405634015784e-08,8.02031094054335e-07,210338_s_at,HSPA8 /// SNORD14C /// SNORD14D,"heat shock 70kDa protein 8 /// small nucleolar RNA, C/D box 14C /// small nucleolar RNA, C/D box 14D"
210425_x_at,0.5460019902645444,0.7922393316013554,-0.2462373413368109,1.9612026233546735e-14,1.2454320798752186e-11,210425_x_at,GOLGA8A /// GOLGA8B /// LOC101930583,"golgin A8 family, member A /// golgin A8 family, member B /// uncharacterized LOC101930583"
210550_s_at,0.2901842747501153,0.5019580593513747,-0.2117737846012594,3.798920525522906e-09,1.5910310326716448e-07,210550_s_at,RASGRF1,Ras protein-specific guanine nucleotide-releasing factor 1
210640_s_at,0.7697633911573454,0.5623508763049495,0.2074125148523958,1.5130185710205818e-12,2.993858087650255e-10,210640_s_at,GPER1,G protein-coupled estrogen receptor 1
210736_x_at,0.6914587626194583,0.48396298250627,0.2074957801131882,1.0522495741901989e-13,4.2567782218703194e-11,210736_x_at,DTNA,"dystrobrevin, alpha"
210781_x_at,0.4579772021790809,0.7147033598575045,-0.2567261576784236,6.225653657271732e-12,9.315112963961122e-10,210781_x_at,GRIN1,"glutamate receptor, ionotropic, N-methyl D-aspartate 1"
210792_x_at,0.4085868467744739,0.6197218150380993,-0.2111349682636254,7.819806725210966e-11,7.10587528592257e-09,210792_x_at,SIVA1,"SIVA1, apoptosis-inducing factor"
211125_x_at,0.4876271464547217,0.7059060246159189,-0.2182788781611971,2.5497103257036577e-10,1.8343240188819375e-08,211125_x_at,GRIN1,"glutamate receptor, ionotropic, N-methyl D-aspartate 1"
211297_s_at,0.5381709683141453,0.7718835037524429,-0.2337125354382975,6.337602562172568e-12,9.379823542762343e-10,211297_s_at,CDK7,cyclin-dependent kinase 7
211370_s_at,0.4329715050603613,0.6604971992426398,-0.2275256941822785,2.0877154180890424e-11,2.431053350279251e-09,211370_s_at,MAP2K5,mitogen-activated protein kinase kinase 5
211651_s_at,0.4090598898019942,0.6115814958480318,-0.2025216060460375,2.8994035465540453e-10,2.0308961469276563e-08,211651_s_at,LAMB1,"laminin, beta 1"
212384_at,0.7403394389476473,0.4948294050070415,0.2455100339406057,1.311675974431453e-16,3.411169523410712e-13,212384_at,ATP6V1G2-DDX39B /// DDX39B /// SNORD84,"ATP6V1G2-DDX39B readthrough (NMD candidate) /// DEAD (Asp-Glu-Ala-Asp) box polypeptide 39B /// small nucleolar RNA, C/D box 84"
213456_at,0.4770550346463572,0.6978942518833374,-0.2208392172369802,2.0614921577607137e-08,6.5190660805898e-07,213456_at,SOSTDC1,sclerostin domain containing 1
213693_s_at,0.6095341055732816,0.3999473975506208,0.2095867080226607,7.158631894606417e-13,1.6998015811310443e-10,213693_s_at,MUC1,"mucin 1, cell surface associated"
